abdome 	parte do corpo situada entre o tórax e a pelve; barriga
trombose 	formação de um coágulo de sangue dentro do coração ou vasos
trompa de eustáquio 	canal que liga a orelha média à faringe; o mesmo que tuba auditiva
tronco cerebral 	parte embaixo do cérebro, na frente do cerebelo. Liga o cérebro à medula espinhal e controla funções involuntárias (as que fazemos sem perceber), como respiração, digestão, ritmo do coração e pressão arterial
tronco encefálico 	parte do cérebro responsável pelas funções involuntárias, como respiração, ritmo dos batimentos cardíacos e pressão arterial etc. 
tronco de o encéfalo 	parte do cérebro responsável pelas funções involuntárias, como respiração, ritmo dos batimentos cardíacos e pressão arterial etc. 
tuba auditivo 	canal que liga a orelha média à faringe; o mesmo que trompa de Eustáquio
tubo digestivo 	parte do corpo composta pela boca, faringe, esôfago, estômago, intestino delgado e intestino grosso
tubo digestório 	é composto pela boca, faringe, esôfago, estômago, intestino delgado e intestino grosso
tumor 	a pesquisar
turvação visual 	dificuldade para enxergar com niditez
tutela 	guarda, responsabilidade
úlcera 	ferimento  ou lesão da membrana mucosa ou pele
úlcera gástrica 	lesão na parede do estômago
úlcera péptica 	lesão na parede do estômago
ultrassom 	a pesquisar
umbilical 	relacionado ao umbigo
unilateral 	de um lado só
ureia 	susbtância que tem na urina
ureteres 	tubos que levam a urina dos rins para a bexiga, há um ureter do lado direito do rim e outro do lado esquerdo
urologia 	estudo do sistema urinário masculino e feminino e do sistema reprodutivo masculino
urologista 	médico especializado em tratar doenças do sistema urinário masculino e feminino e masculino e do sistema reprodutivo masculino
uso oral 	pela boca
valor acromático 	a pesquisar
valor cromático 	a pesquisar
válvula mitral 	válvula entre o átrio esquerdo e o ventrículo esquerdo
variação fenotipica 	a pesquisar
variz 	inchaço anormal das veias que ocorre normalmente nas pernas devido a válvulas danificadas que falham ao evitar o refluxo de sangue e o sangue acumula causando a distensão das veias
vas 	a pesquisar
vascularização 	a pesquisar
vascularização cerebral 	a pesquisar
vasoconstrição 	a pesquisar
vasoconstritor 	 substância que reduz o calibre dos vasos
vasodilatação 	a pesquisar
vasodilatador 	substância que aumenta o calibre dos vasos
vaso capilar 	os menores vasos sanguíneos; o mesmo que capilares e capilares sanguíneos
vaso sanguíneo 	existem 3 tipos: artérias, veias e capilares
veia cavar 	maior veia do corpo; existem duas veias cavas, a superior e a inferior, e ambas levam sangue para o átrio direito
veia 	a pesquisar
veia pulmonar 	veias que carregam sangue oxigenado dos pulmões ao coração
velocidade autosselecionadar 	a pesquisar
venoso 	que é das veias
ventilação 	auxílio para entrada de ar
ventrículo 	cavidades, espaços
ventrículo cardíaco 	partes do  coração  que são como  câmaras que recebem e bombeiam sangue
ventrículo cardíaco direito 	a pesquisar
ventrículo cardíaco esquerdo 	a pesquisar
vértebras 	ossos da coluna vertebral
vertigem 	sensação de movimento irregular ou giratório do corpo ou de objetos externos causada por distúrbio nos órgão do equilíbrio, como o labirinto 
vesícula 	órgão em forma de bolsa localizado abaixo do fígado que armazena a bile (*Ver bile no glossário)
via aferente 	leva os impulsos nervosos até o sistema nervoso central,
via eferente 	a pesquisar
via nigroestriada 	a pesquisar
via oral 	pela boca
vídeolaparoscopia 	a pesquisar
vírus 	partícula basicamente proteica que pode infectar organismos vivos, causando doenças
vísceras 	partes internas do organismo, como coração, fígado, intestinos, etc.
visomotor 	a pesquisar
wearing off 	a pesquisar
xerostomia 	baixa produção de saliva pelas glândulas salivares
zigoto 	célula resultande da união do espermatozóide e do óvulo
